Enchant_level,Enchant_Prob,Melt,Image
0,10000,0,Sword_01
1,10000,0,Sword_01
2,10000,0,Sword_02
3,10000,0,Sword_03
4,10000,0,Sword_04
5,10000,0,Sword_05
6,10000,0,Sword_06
7,9000,0,Sword_06
8,9000,0,Sword_06
9,9000,0,Sword_06
10,9000,1,Sword_06
11,9000,1,Sword_06
12,9000,1,Sword_06
13,9000,1,Sword_06
14,8000,1,Sword_06
15,8000,1,Sword_06
16,8000,1,Sword_06
17,8000,1,Sword_06
18,8000,1,Sword_06
19,8000,1,Sword_06
20,8000,1,Sword_06
21,7000,1,Sword_06
22,7000,1,Sword_06
23,7000,1,Sword_06
24,7000,1,Sword_06
25,7000,1,Sword_06
26,6000,1,Sword_06
27,6000,1,Sword_06
28,6000,1,Sword_06
29,6000,1,Sword_06
30,6000,1,Sword_06
31,5000,1,Sword_06
32,5000,1,Sword_06
33,5000,1,Sword_06
34,5000,1,Sword_06
35,5000,1,Sword_06
36,4000,1,Sword_06
37,4000,1,Sword_06
38,4000,1,Sword_06
39,4000,1,Sword_06
40,4000,1,Sword_06
41,3000,1,Sword_06
42,3000,1,Sword_06
43,3000,1,Sword_06
44,3000,1,Sword_06
45,3000,1,Sword_06
46,3000,1,Sword_06
47,3000,1,Sword_06
48,3000,1,Sword_06
49,3000,1,Sword_06
50,3000,1,Sword_06
