Enchant_level,Enchant_Prob,Melt,Image
0,10000,0,Sword_01
1,10000,0,Sword_01
2,10000,0,Sword_01
3,10000,0,Sword_01
4,10000,0,Sword_01
5,10000,0,Sword_01
6,10000,0,Sword_01
7,9000,0,Sword_02
8,9000,0,Sword_02
9,9000,0,Sword_02
10,8000,1,Sword_03
11,8000,1,Sword_03
12,8000,1,Sword_03
13,8000,1,Sword_03
14,8000,1,Sword_03
15,8000,1,Sword_03
16,7000,1,Sword_04
17,7000,1,Sword_04
18,7000,1,Sword_04
19,7000,1,Sword_04
20,6000,1,Sword_05
21,6000,1,Sword_05
22,6000,1,Sword_05
23,6000,1,Sword_05
24,6000,1,Sword_05
25,5000,1,Sword_06
26,5000,1,Sword_06
27,5000,1,Sword_06
28,5000,1,Sword_06
29,5000,1,Sword_06
30,4000,1,Sword_07
31,4000,1,Sword_07
32,4000,1,Sword_07
33,4000,1,Sword_07
34,4000,1,Sword_07
35,4000,1,Sword_07
36,4000,1,Sword_07
37,4000,1,Sword_07
38,4000,1,Sword_07
39,4000,1,Sword_07
40,3000,1,Sword_08
41,3000,1,Sword_08
42,3000,1,Sword_08
43,3000,1,Sword_08
44,3000,1,Sword_08
45,3000,1,Sword_08
46,3000,1,Sword_08
47,3000,1,Sword_08
48,3000,1,Sword_08
49,3000,1,Sword_08
50,2000,1,Sword_09
51,2000,1,Sword_09
52,2000,1,Sword_09
53,2000,1,Sword_09
54,2000,1,Sword_09
55,2000,1,Sword_09
56,2000,1,Sword_09
57,2000,1,Sword_09
58,2000,1,Sword_09
59,2000,1,Sword_09
60,1000,1,Sword_10
61,1000,1,Sword_10
62,1000,1,Sword_10
63,1000,1,Sword_10
64,1000,1,Sword_10
65,1000,1,Sword_10
66,1000,1,Sword_10
67,1000,1,Sword_10
68,1000,1,Sword_10
69,1000,1,Sword_10
70,800,1,Sword_11
71,800,1,Sword_11
72,800,1,Sword_11
73,800,1,Sword_11
74,800,1,Sword_11
75,800,1,Sword_11
76,800,1,Sword_11
77,800,1,Sword_11
78,800,1,Sword_11
79,800,1,Sword_11
80,600,1,Sword_12
81,600,1,Sword_12
82,600,1,Sword_12
83,600,1,Sword_12
84,600,1,Sword_12
85,600,1,Sword_13
86,600,1,Sword_13
87,600,1,Sword_13
88,600,1,Sword_13
89,600,1,Sword_13
90,300,1,Sword_14
91,300,1,Sword_14
92,300,1,Sword_14
93,300,1,Sword_14
94,300,1,Sword_14
95,300,1,Sword_15
96,300,1,Sword_15
97,300,1,Sword_15
98,300,1,Sword_15
99,300,1,Sword_15
100,100,1,Sword_16
101,100,1,Sword_16
102,100,1,Sword_16
103,100,1,Sword_16
104,100,1,Sword_16
105,100,1,Sword_16
106,100,1,Sword_16
107,100,1,Sword_16
108,100,1,Sword_16
109,100,1,Sword_16
110,100,1,Sword_16
111,100,1,Sword_16
112,100,1,Sword_16
113,100,1,Sword_16
114,100,1,Sword_16
115,100,1,Sword_16
116,100,1,Sword_16
117,100,1,Sword_16
118,100,1,Sword_16
119,100,1,Sword_16
120,100,1,Sword_16
121,100,1,Sword_16
122,100,1,Sword_16
123,100,1,Sword_16
124,100,1,Sword_16
125,100,1,Sword_16
126,100,1,Sword_16
127,100,1,Sword_16
128,100,1,Sword_16
129,100,1,Sword_16
130,100,1,Sword_16
131,100,1,Sword_16
132,100,1,Sword_16
133,100,1,Sword_16
134,100,1,Sword_16
135,100,1,Sword_16
136,100,1,Sword_16
137,100,1,Sword_16
138,100,1,Sword_16
139,100,1,Sword_16
140,100,1,Sword_16
141,100,1,Sword_16
142,100,1,Sword_16
143,100,1,Sword_16
144,100,1,Sword_16
145,100,1,Sword_16
